locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth_m;genus_species;abund;size_cm
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;thalassoma_lucasanum;160;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;scarus_rubroviolaceus;2;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;scarus_rubroviolaceus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;acanthurus_nigricans;6;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;ctenochaetus_marginatus;4;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;prionurus_laticlavius;2;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;melichthys_niger;6;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;sufflamen_verres;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;sufflamen_verres;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;ostracion_meleagris;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;zanclus_cornutus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;zanclus_cornutus;6;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;aulostomus_chinensis;3;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;arothron_meleagris;8;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;arothron_meleagris;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;canthigaster_punctatissima;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;gymnothorax_flavimarginatus;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;myripristis_berndti;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;myripristis_berndti;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;paranthias_colonus;50;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;paranthias_colonus;40;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;cirrhitichthys_oxycephalus;12;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;caranx_melampygus;100;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;caranx_melampygus;10;55
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;elagatis_bipinnulata;4;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;lutjanus_argentiventris;30;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;lutjanus_argentiventris;60;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;lutjanus_argentiventris;1;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;lutjanus_viridis;10;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;stegastes_arcifrons;80;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;stegastes_arcifrons;240;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;bodianus_diplotaenia;14;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;halichoeres_discolor;16;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;halichoeres_discolor;66;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;halichoeres_discolor;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;halichoeres_discolor;6;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;thalassoma_lucasanum;350;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;thalassoma_lucasanum;150;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;scarus_rubroviolaceus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;scarus_rubroviolaceus;1;60
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;scarus_rubroviolaceus;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;scarus_rubroviolaceus;1;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;axoclinus_cocoensis;2;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;acanthurus_xanthopterus;1;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1422;40;15;prionurus_laticlavius;1;35
